;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,
EVTNAME10225;Hungarian Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10225;The Hungarian nobility has grown increasingly nationalistic and liberal in recent years. The cities and countryside have become increasingly unruly, a violent and dangerous place for Bohemian officials and Czechs. In response, the Bohemian government ordered the Hungarian Diet dissolved and the replacement of the Governing Council with a single governor, Count Jirí Lukavský of Olomouc. The Hungarians have refused to obey, and thus we now face civil war to maintain the integrity of the realm.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTOPTA999002;There are no Gods!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999001;Decisive arguments for Laissez Faire.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999000;Our trade must be protected from destructive foreign competition!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA332552;Truly a great loss.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA332551;Truly a great loss.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA332550;A pity.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA203805;FOR DENMARK!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA203777;I have to admit that their slogans are appealing.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA203776;Let the fascists play at politics a while.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA203775;Keep an eye on them. Do you have the latest stock ticker?;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA203771;The world moves on.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA203770;Profit, ho!;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA160502;A show of force should deal with this.;;Eine Demonstration unserer Macht sollte helfen.;;;;;;;;;;;x;,,,,,,,,,,
EVTOPTA160001;Crush them!;;Vernichtet sie!;;;;;;;;;;;x;,,,,,,,,,,
EVTOPTA98200;We must monitor the situation carefully.;;;;;;;;;;x
EVTOPTA96150;Excellent!;Excellent!;Ausgezeichnet!;;;;;;;;;;;x,,,,
EVTOPTA96141;We shall see about that.;Je doute de lui.;Ich bezweifele es.;;;;;;;;;;;x,,,,
EVTOPTA96136;Never!;Nous refusons!;Wir lehnen ab!;;;;;;;;;;;x,,,,
EVTOPTA96131;Thanks for the vote of confidence.;Merci pour le vote de confiance.;Dank für die Vertrauensabstimmung.;;;;;;;;;;;x,,,,
EVTOPTA96130;Just let them try it!;Laissez-les Venir!;Lassen Sie Kommen!;;;;;;;;;;;x,,,,
EVTOPTA96085;We welcome the new regime.;Nous faisons bon accueil au nouveau régime.;Wir begrüßen das neue Regime.;;;;;;;;;;;x,,,,
EVTOPTA96071;We will accept control over the colony.;Nous acceptons.;Wir nehmen an.;;;;;;;;;;;x,,,,
EVTOPTA96070;Time to carve up our empire.;Nous n'avons aucun choix.;Wir haben keine Wahl.;;;;;;;;;;;x,,,,
EVTOPTA96065;We must defend $COUNTRY_ADJ$ interests, no matter the cost.;;;;;;;;;;;x,,,
EVTOPTA96031;Great;Excellent;Ausgezeichnet;;;;;;;;;;;x,,,,
EVTOPTA96030;We will ally with $FROMCOUNTRY$;Nous convenons;Wir stimmen zu;;;;;;;;;;;x,,,,
EVTOPTA96025;Do it;Oui;Ja;;;;;;;;;;;x,,,,
EVTOPTA96020;Long live $COUNTRY$!;Vive $COUNTRY$!;Lieben lang $COUNTRY$!;;;;;;;;;;;x,,,,
EVTOPTA96016;We will take what we can;Nous voulons autant que possible;Wir wünschen so viel wie möglich;;;;;;;;;;;x,,,,
EVTOPTA96015;$COUNTRY$ shall be free;$COUNTRY$ sera libre;$COUNTRY$ ist frei;;;;;;;;;;;x,,,,
EVTOPTA96014;We simply wish our lands back;Nous voulons nos terres;Wir wünschen unsere Länder;;;;;;;;;;;x,,,,
EVTOPTA96013;We will attend the talks;Nous joindrons les entretiens;Wir gehen zu den Gesprächen;;;;;;;;;;;x,,,,
EVTOPTA96010;We welcome peace;La paix est bienvenue;Frieden ist willkommen;;;;;;;;;;;x,,,,
EVTOPTA96006;Disaster!;Désastre!;Unfall!;;;;;;;;;;;x,,,,
EVTOPTA96005;Do not lose hope!;Ne perdez pas l'espoir!;Verlieren Sie nicht Hoffnung!;;;;;;;;;;;x,,,,
EVTOPTA96004;We will win this war!;Nous gagnerons la guerre!;Wir gewinnen den Krieg!;;;;;;;;;;;x,,,,
EVTOPTA96000;We shall be victorious!;Nous serons victorieux!;Wir sind siegreich!;;;;;;;;;;;x,,,,
EVTOPTA95599;Let it be so.;;;;;;;;;;;;;;;;;x
EVTOPTA90910;Wagons West!;Wagons à l'ouest !;Wagen gen Westen!;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA90904;This cannot be borne!;;;;;;;;;;;;;x
EVTOPTA90902;Freedom!;;Freiheit!;;;;;;;;;;;x;,,,,,,,,,,
EVTOPTA90901;We are united again;Nous sommes à nouveau unis;Wir sind wieder vereint;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA90900;We are united again;Nous sommes à nouveau unis;Wir sind wieder vereint;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA66689;Turn Lucky Nations On.;;;;;;x,,,,,,,,,,
EVTOPTA49504;It seems like a logical argument.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA49503;A customs union cannot hurt, I suppose.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA49502;Oh well, I guess that's over then.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA49501;A royal marriage cannot hurt, I suppose.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA32549;For better or for worse, he is a free man.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA32548;He is of little harm to the integrity of the nation.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32547;What has she done to deserve this?;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32546;Good to see that the underlings are prospering.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32545;Good on him!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32542;Victory is ours!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32541;Let him live free, but keep an eye on him.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA32540;We have fought for 100 years. Let them suffer.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32539;A great day for Russians everywhere!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32538;We will not stand this insolence!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32537;This has gone on too long. Send in the troops!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32536;They will pay in time.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32535;An unfortunate event, to be sure.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA32534;They will pay for this!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32533;Let us fight back!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32532;Let the Circassians know who is boss.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32531;We will crush the Circassians!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32530;Let the landing commence!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32521;May our empires prosper together!;;;;;;;;;;x,,,,,,,,,,,,,
EVTOPTA19047;Orphans Rejoice!;Les orphelins se réjouissent !;Fantastisch!;;¡Menudo alegrón!;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTA19046;Glorious!;Magnifique !;Wunderbar!;;¡Glorioso!;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTA19045;What next? Comet sighted?;Et maintenant ? Comète en vue ?;Was kommt als nächstes? Die Sichtung eines Kometen?;;¿Qué será lo próximo? ¿Avistar un cometa?;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTA19044;Fantastic!;Fantastique !;Fantastisch!;;¡Fantástico!;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTA19043;Bribes are the way forward;Corruption en cours;Bestechungsgelder sind unterwegs.;;Los sobornos son la solución;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTA19042;Bah!;Bah !;Pfft!;;¡Bah!;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTA19041;Excellent!;Parfait !;Hervorragend!;;¡Excelente!;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTA19040;Go for it!;Allez-y !;Ausgrabungen genehmigen!;;¡Adelante con ello!;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTA13010;Send them home.;Les laisser rentrer chez eux.;Lasst sie heimkehren.;;Dejadles regresar a casa.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA13000;We will allow the westerners into $COUNTRY$, so long as they cause no trouble.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTOPTA10001;We can expect increased liberal activity in the coming years.;;;;;;;;;;;;;x
EVTOPTA10000;We will be freemen, as our fathers were.;;;;;;;;;;;;x
EVTNAME152009873;The $COUNTRY_ADJ$ Military Coup;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME152009872;$COUNTRY_ADJ$ Coup?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME16050215;Victory over the Kuomintang;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME16050214;Retreat to Taiwan;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME11380019;Constitutional Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME6016807;Crisis;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME2037107;Cheating;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME1605020;The Death of Hong Xiuquan;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME1600010;The Taiping Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1316181;The Arrow Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME1316180;Empire of the Great Qin;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1316176;$COUNTRY_ADJ$ Envoy Ejected;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1316176;$COUNTRY_ADJ$ Envoy Ejected;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME1316092;The Unequal Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME1316091;The Unequal Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME1316090;The Treaty of Shimonoseki;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME1316089;The $FROMCOUNTRY_ADJ$ Victory;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME1316086;$FROMCOUNTRY$ Agrees;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1316085;The Treaty of Shimonoseki;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1316084;$FROMCOUNTRY$ has Refused!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1316083;$FROMCOUNTRY$ Agrees;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME1316082;The Unequal Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1316081;The Kowloon Incident;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME1010033;Kitty O'Shea;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010032;Irish Home Rule;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010031;The $STATENAME$ Volunteers;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010030;Charles Stewart Parnell;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010025;The Anglo-Irish Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010024;The Sinn Féin Demand;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010023;The Easter Rising;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010022;Fenian Revolt in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010021;Fenians in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010020;The Irish Republican Brotherhood;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010016;Ireland's Opportunity;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010015;The Young Irelander Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010012;Irish Famine Spreads;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1010011;The Great Irish Famine;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME999065;The Slavery Debate;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999061;Talk of War;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999060;War Dominates the Election;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999057;The Immigration Issue;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999056;The Rights of Minorities;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999055;The Child Labor Issue;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999050;Unemployment Issues;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999049;National Debate: Unemployment;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999046;Request For Privacy;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999045;Election Fraud!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999044;Right In The Face;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999043;Voting Rights Discussion;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999042;Voting Rights Discussion;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999041;Voting Rights Discussion;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999040;National Debate: Voting Rights;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999037;Surge of Conservatism;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999036;Reactionary Surge;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999035;The Social Liberals;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999034;The Anarcho-Liberals;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999033;Surge Of Liberalism;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999032;Surge Of Fascism;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999031;Surge Of Communism;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999030;Surge Of Socialism;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999022;Riots!;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999021;Violent Elections;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999020;Calm Elections;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999010;The Political Campaign Of $YEAR$;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999004;National Debate: War Policy;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999003;National Debate: Citizenship Policy;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999002;National Debate: Religious Policy;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999001;National Debate: Economic Policy;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME999000;National Debate: Trade Policy;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME975521;Honduras Declares Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME900715;Legacy of the Congress;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME900646;The Croatian Issue;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME900645;The Bosnian Issue;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME900640;The Cyprus Convention;;;;;;;;;;;;x,,,,,,,,,,,,,
